Station Names,YEAR,Month,Max Temp,Min Temp,Rainfall,Relative Humidity,Wind Speed,Cloud Coverage,Bright Sunshine,Period
Barisal,1978,1,27.8,10.7,0,72,0.3,0.4,8.1,1978.01
Barisal,1979,1,30.6,12,1,75,0.3,0.6,8.8,1979.01
Barisal,1980,1,29.5,11.8,0,75,0.4,0.5,9,1980.01
Barisal,1981,1,28,13.1,24,79,0.6,1.6,8.4,1981.01
Barisal,1982,1,29.8,12.4,0,74,0.2,0.4,8.1,1982.01
Barisal,1983,1,28.2,11.9,8,77,0.3,1.2,7.7,1983.01
Barisal,1984,1,27.6,11.7,16,83,0.3,1.4,8.2,1984.01
Barisal,1985,1,30.2,12.6,1,84,0.2,1.4,7.5,1985.01
Barisal,1986,1,29.5,11.5,6,86,0.3,1.4,7.1,1986.01
Barisal,1987,1,29.2,12,4,84,0.3,0.6,8.6,1987.01
Barisal,1988,1,28,12.1,0,81,0.2,0.5,8.3,1988.01
Barisal,1989,1,27.1,10.2,0,79,0.3,0.3,8.3,1989.01
Barisal,1990,1,29.9,12.5,0,83,0.3,0.5,7.1,1990.01
Barisal,1991,1,28.6,12.1,10,82,0.2,1.6,6.8,1991.01
Barisal,1992,1,28,11.6,4,81,0.2,0.6,7,1992.01
Barisal,1993,1,28.5,11.6,1,83,0.2,0.8,6.8,1993.01
Barisal,1994,1,29.6,12.2,4,71,0.4,0.4,7.7,1994.01
Barisal,1995,1,29,10.7,1,73,0.4,1.7,6.8,1995.01
Barisal,1996,1,29.4,12.4,0,80,0.2,0.5,8.2,1996.01
Barisal,1997,1,28.2,10.7,1,79,0.3,1.1,7.5,1997.01
Barisal,1998,1,29,11.8,148,88,0.7,2.4,5.5,1998.01
Barisal,1999,1,30,12.1,0,82,0.5,0.4,8.2,1999.01
Barisal,2000,1,30,12.4,0,81,0.4,0.9,7.9,2000.01
Barisal,2001,1,29.5,10.1,0,81,0.1,0.3,8.9,2001.01
Barisal,2002,1,29,13,19,85,0.1,1.8,6.9,2002.01
Barisal,2003,1,28.6,11.1,0,81,0.2,1.4,7.4,2003.01
Barisal,2004,1,29,13,0,82,0.2,2.3,6,2004.01
Barisal,2005,1,29.5,12.5,11,87,0.4,1.5,7.2,2005.01
Barisal,2006,1,29.6,12.1,0,81,0.5,0.9,7.7,2006.01
Barisal,2007,1,29.4,11.2,0,81,0.2,0.7,7.2,2007.01
Barisal,2008,1,30,13.2,41,81,0.4,1.6,6.5,2008.01
Barisal,2009,1,29,13.6,0,82,1.7,0.5,6.8,2009.01
Barisal,2010,1,28.9,10.8,0,81,1.9,1,7.1,2010.01
Barisal,2011,1,29,10.9,0,79,1,0.5,6.7,2011.01
Barisal,2012,1,28.8,13,31,82,1.9,2,5.4,2012.01
Barisal,2013,1,28.7,10.6,0,80,1.4,0.3,7.1,2013.01
Barisal,1949,2,33.9,15.2,9,63,0.659259259,0.9,8.314893617,1949.02
Barisal,1950,2,31.7,16.6,90,76,0.659259259,1.7,8.314893617,1950.02
Barisal,1951,2,32.3,16,0,76,0.659259259,0.6,8.314893617,1951.02
Barisal,1952,2,30.6,15.2,8,75,0.659259259,1.5,8.314893617,1952.02
Barisal,1953,2,32.8,15.5,3,75,0.659259259,2.2,8.314893617,1953.02
Barisal,1954,2,33.4,17.9,3,73,0.659259259,1,8.314893617,1954.02
Barisal,1955,2,30.5,15.2,8,75,0.659259259,1.5,8.314893617,1955.02
Barisal,1956,2,32.8,14.9,0,69,0.659259259,1.2,8.314893617,1956.02
Barisal,1957,2,30.6,16.3,13,80,0.659259259,1.6,8.314893617,1957.02
Barisal,1958,2,30.5,16.6,12,75,0.659259259,2.3,8.314893617,1958.02
Barisal,1959,2,30.5,15.6,5,80,0.659259259,1,8.314893617,1959.02
Barisal,1960,2,32.7,16.5,0,77,0.1,0.5,8.314893617,1960.02
Barisal,1961,2,31.6,14.9,43,70,0.3,2.2,8.314893617,1961.02
Barisal,1962,2,31.6,16.2,44,70,0.2,2.1,8.314893617,1962.02
Barisal,1963,2,32.7,17.3,0,65,0.2,0.9,8.314893617,1963.02
Barisal,1964,2,30.6,15.2,2,75,0.8,1.9,8.314893617,1964.02
Barisal,1965,2,30.5,15.2,44,76,0.5,1.8,8.314893617,1965.02
Barisal,1966,2,30.5,15.2,0,77,0.4,0.5,8.314893617,1966.02
Barisal,1967,2,33.8,15.6,0,75,0.7,0.7,8.1,1967.02
Barisal,1968,2,31.1,15,14,73,0.7,1.9,8.1,1968.02
Barisal,1969,2,34.2,14.9,0,69,0.7,1.4,8.5,1969.02
Barisal,1970,2,31.6,15.3,24,74,0.6,2.1,8.9,1970.02
Barisal,1971,2,31.4,14.7,1,75,0.6,1.7,8.4,1971.02
Barisal,1972,2,31.4,13.3,58,74,1.1,1.8,9.6,1972.02
Barisal,1973,2,33.5,16.3,12,72,1.1,1.9,9.7,1973.02
Barisal,1974,2,34.2,14.1,0,70,0.7,0.4,10.8,1974.02
Barisal,1975,2,32.2,14.6,1,75,0.6,1,10.1,1975.02
Barisal,1976,2,32.5,14.8,20,79,0.5,1.4,8.4,1976.02
Barisal,1977,2,31.4,13.5,36,74,0.7,1.4,9.3,1977.02
Barisal,1978,2,31.4,14.2,0,68,0.3,1.1,8.4,1978.02
Barisal,1979,2,32.2,13.7,14,70,0.5,1.2,9.5,1979.02
Barisal,1980,2,32,14.1,55,75,0.4,1.5,9,1980.02
Barisal,1981,2,33.1,15.7,43,76,0.5,1.5,7.8,1981.02
Barisal,1982,2,30.6,16.2,57,76,0.3,2.2,8.3,1982.02
Barisal,1983,2,31.4,14.4,39,73,0.6,2.4,7.7,1983.02
Barisal,1984,2,32.6,13.4,0,77,0.5,1.8,8.4,1984.02
Barisal,1985,2,31.4,14.3,2,77,0.6,1.1,8.6,1985.02
Barisal,1986,2,32,14.7,0,81,0.3,1.5,8.6,1986.02
Barisal,1987,2,33.3,14.8,3,80,0.2,1.4,8.1,1987.02
Barisal,1988,2,31,15.6,22,79,0.3,1.6,7.9,1988.02
Barisal,1989,2,31.6,15.7,14,75,0.6,0.9,8.8,1989.02
Barisal,1990,2,31.7,17.4,79,81,0.4,3.2,7.2,1990.02
Barisal,1991,2,33.2,16.5,14,80,0.5,1,8.1,1991.02
Barisal,1992,2,29.5,15.3,98,82,0.6,2,7.3,1992.02
Barisal,1993,2,31.6,16.3,35,83,0.7,1.2,8.1,1993.02
Barisal,1994,2,31,14.6,13,72,0.4,1.4,7.8,1994.02
Barisal,1995,2,31,15,62,73,0.3,2.1,7,1995.02
Barisal,1996,2,31.5,15,20,76,0.4,1.6,8.7,1996.02
Barisal,1997,2,31.4,14.6,30,79,0.5,1.5,8.1,1997.02
Barisal,1998,2,31.5,15.4,54,79,0.5,2,7.2,1998.02
Barisal,1999,2,34.8,15.1,0,78,0.7,1.1,7.8,1999.02
Barisal,2000,2,29.2,14.3,16,78,0.4,3.8,6.6,2000.02
Barisal,2001,2,32.1,14.9,17,79,0.6,1.4,8.6,2001.02
Barisal,2002,2,34,14.2,0,77,0.3,0.7,9.4,2002.02
Barisal,2003,2,31.5,16.1,4,75,0.3,1.4,8.2,2003.02
Barisal,2004,2,33.1,15.2,0,77,0.4,1.2,8.1,2004.02
Barisal,2005,2,33.6,16.9,0,78,0.7,1.2,8.8,2005.02
Barisal,2006,2,35.6,18.4,0,80,0.8,1.1,8.4,2006.02
Barisal,2007,2,31.2,16,72,81,0.4,2,6.9,2007.02
Barisal,2008,2,30,14.2,24,77,0.6,1.3,7.6,2008.02
Barisal,2009,2,33.6,16,20,75,3.1,0.8,8.5,2009.02
Barisal,2010,2,32.6,15.6,1,75,1.7,1.6,7.5,2010.02
Barisal,2011,2,31.5,15.3,0,73,2,0.9,7.9,2011.02
Barisal,2012,2,34.2,14.3,2,73,2.4,0.5,8.3,2012.02
Barisal,2013,2,32.3,14.8,6,76,1.3,1.6,7.7,2013.02
Barisal,1949,3,36.7,20.2,8,59,1.085185185,1.5,8.131914894,1949.03
Barisal,1950,3,36.1,20.5,13,70,1.085185185,2.9,8.131914894,1950.03
Barisal,1951,3,35.6,21.5,67,70,1.085185185,4,8.131914894,1951.03
Barisal,1952,3,33.3,20.2,33,73,1.085185185,2.4,8.131914894,1952.03
Barisal,1953,3,35,22.9,3,78,1.085185185,3.1,8.131914894,1953.03
Barisal,1954,3,36.7,20.5,56,65,1.085185185,1.4,8.131914894,1954.03
Barisal,1955,3,33.3,20.2,33,73,1.085185185,2.4,8.131914894,1955.03
Barisal,1956,3,36.7,21.5,20,72,1.085185185,1.8,8.131914894,1956.03
Barisal,1957,3,36.6,20,0,70,1.085185185,1.8,8.131914894,1957.03
Barisal,1958,3,33.6,16.5,51,73,1.085185185,2.4,8.131914894,1958.03
Barisal,1959,3,36.4,20.6,59,72,1.085185185,1.5,8.131914894,1959.03
Barisal,1960,3,34.9,19.6,36,69,0.6,1.8,8.131914894,1960.03
Barisal,1961,3,34.4,22.8,51,79,0.9,2.9,8.131914894,1961.03
Barisal,1962,3,37.2,19.9,0,58,0.2,0.6,8.131914894,1962.03
Barisal,1963,3,36.6,20.2,260,61,0.6,1.4,8.131914894,1963.03
Barisal,1964,3,33.3,20.2,3,73,1.2,2.2,8.131914894,1964.03
Barisal,1965,3,33.3,20.2,34,74,0.5,2.4,8.131914894,1965.03
Barisal,1966,3,33.3,20.2,0,77,1.1,3.2,8.131914894,1966.03
Barisal,1967,3,33.4,19,92,76,1.2,3.3,7.5,1967.03
Barisal,1968,3,36.7,19.3,86,69,1.1,2.8,7.2,1968.03
Barisal,1969,3,35,20.9,107,77,1.2,3.6,7.8,1969.03
Barisal,1970,3,35.4,21.1,5,74,1.7,3.1,8.4,1970.03
Barisal,1971,3,34.7,18.7,6,73,0.9,1.2,8.8,1971.03
Barisal,1972,3,35,20.4,0,72,1.3,2.2,10.2,1972.03
Barisal,1973,3,36.4,19.1,81,74,0.7,1.7,9.4,1973.03
Barisal,1974,3,35.6,21,149,77,1.5,2.8,8.7,1974.03
Barisal,1975,3,33.3,20.2,33,73,1,2.4,10.5,1975.03
Barisal,1976,3,35.6,21.5,2,78,1.3,1.6,8.2,1976.03
Barisal,1977,3,34.9,21.3,0,75,1.3,1.9,8.3,1977.03
Barisal,1978,3,36.9,18.5,14,65,0.5,1.7,8.2,1978.03
Barisal,1979,3,35.6,19.2,30,66,1.2,1.9,8.8,1979.03
Barisal,1980,3,34.5,19.4,47,75,0.9,2.6,8.8,1980.03
Barisal,1981,3,33.5,19.5,115,77,1,3.6,6.6,1981.03
Barisal,1982,3,35.2,19.3,17,71,0.6,2.4,9.6,1982.03
Barisal,1983,3,35.3,21.2,18,76,1.4,2.6,8.4,1983.03
Barisal,1984,3,36.6,19.7,1,74,1.1,1.6,8.2,1984.03
Barisal,1985,3,36.7,22.4,45,81,1.8,3.6,7.5,1985.03
Barisal,1986,3,38.4,20.4,7,75,0.8,1.2,8.4,1986.03
Barisal,1987,3,37.2,19.9,8,77,0.9,2.9,8,1987.03
Barisal,1988,3,35.2,21.1,65,77,0.7,3,8.2,1988.03
Barisal,1989,3,36.2,19.9,1,70,0.7,2,8.8,1989.03
Barisal,1990,3,33.6,19,182,82,0.7,4,8.1,1990.03
Barisal,1991,3,36.2,21.8,38,78,0.6,1.9,8.9,1991.03
Barisal,1992,3,36,22.2,0,77,1.3,2.2,7.9,1992.03
Barisal,1993,3,35.5,18.4,173,77,0.8,2,7.9,1993.03
Barisal,1994,3,34.8,21.3,92,73,1.3,2.5,8.1,1994.03
Barisal,1995,3,36.7,19.2,6,68,0.5,1.3,8.7,1995.03
Barisal,1996,3,35.2,22.3,12,77,1.2,2.7,8,1996.03
Barisal,1997,3,35,21.1,79,81,0.9,3.1,7.6,1997.03
Barisal,1998,3,34.5,17.9,273,75,0.9,2.6,8.1,1998.03
Barisal,1999,3,38,20.5,0,74,1.1,1.8,5.9,1999.03
Barisal,2000,3,34.6,19.8,50,77,1.1,3.1,6.3,2000.03
Barisal,2001,3,35.6,19,4,75,0.5,2,8,2001.03
Barisal,2002,3,36,19.8,36,72,0.6,2.3,8,2002.03
Barisal,2003,3,34.8,19.5,117,77,0.6,2.9,7.8,2003.03
Barisal,2004,3,36.4,21.8,11,76,1.2,3,7.5,2004.03
Barisal,2005,3,36,22.1,138,83,0.9,3.5,7.5,2005.03
Barisal,2006,3,37.5,21,4,77,0.6,2.2,8.1,2006.03
Barisal,2007,3,35.5,18.4,33,71,0.6,1.1,8.6,2007.03
Barisal,2008,3,35,21.9,22,78,1,3.6,6.9,2008.03
Barisal,2009,3,35,21.1,13,77,2.3,2.8,7.5,2009.03
Barisal,2010,3,36.9,22.9,1,73,3.1,2.5,8.2,2010.03
Barisal,2011,3,35.5,20.1,34,72,3.2,2.5,8,2011.03
Barisal,2012,3,35.8,21.8,11,75,1.8,2.3,7.5,2012.03
Barisal,2013,3,36.2,21,5,76,1.9,1.8,8.6,2013.03
Barisal,1949,4,33.9,23.9,140,71,1.772222222,3.9,8.219148936,1949.04
Barisal,1950,4,37.2,24.2,66,75,1.772222222,3.3,8.219148936,1950.04
Barisal,1951,4,36.7,24.3,137,75,1.772222222,4.6,8.219148936,1951.04
Barisal,1952,4,34,23.9,85,78,1.772222222,3.7,8.219148936,1952.04
Barisal,1953,4,36.7,25.1,46,76,1.772222222,3.9,8.219148936,1953.04
Barisal,1954,4,37.1,25.6,14,72,1.772222222,3,8.219148936,1954.04
Barisal,1955,4,34,23.9,85,78,1.772222222,3.7,8.219148936,1955.04
Barisal,1956,4,37.2,24.3,92,77,1.772222222,2.6,8.219148936,1956.04
Barisal,1957,4,37.3,24.9,1,85,1.772222222,2.3,8.219148936,1957.04
Barisal,1958,4,36.6,24.5,129,79,1.772222222,3,8.219148936,1958.04
Barisal,1959,4,37.2,24.9,59,74,1.772222222,3.2,8.219148936,1959.04
Barisal,1960,4,36.6,24.9,13,71,1,1.8,8.219148936,1960.04
Barisal,1961,4,37.2,24.8,44,79,0.8,2.9,8.219148936,1961.04
Barisal,1962,4,36.6,24.6,1,72,1.6,2.7,8.219148936,1962.04
Barisal,1963,4,35.5,23.3,54,72,0.9,3.5,8.219148936,1963.04
Barisal,1964,4,34,23.9,52,78,2.1,4.2,8.219148936,1964.04
Barisal,1965,4,34,23.9,53,79,1.2,5.1,8.219148936,1965.04
Barisal,1966,4,34,23.9,1,80,2,4.5,8.219148936,1966.04
Barisal,1967,4,36.9,23,105,74,1.6,2.9,7.8,1967.04
Barisal,1968,4,35.9,23.4,64,77,1.8,4.1,7.8,1968.04
Barisal,1969,4,36.4,23.5,82,77,1.8,3.9,7.6,1969.04
Barisal,1970,4,35,24.3,91,80,2,3.6,8.6,1970.04
Barisal,1971,4,34.1,23.6,138,78,1.4,4.6,8.3,1971.04
Barisal,1972,4,37.2,23.7,121,77,2,4.1,10.5,1972.04
Barisal,1973,4,36,25.2,42,79,2.6,3.7,9.6,1973.04
Barisal,1974,4,35,23.4,187,82,2.2,4,10.3,1974.04
Barisal,1975,4,34,23.9,85,78,1.6,3.7,9.9,1975.04
Barisal,1976,4,37.2,23.9,100,77,1.8,3.1,8.3,1976.04
Barisal,1977,4,34.7,23.7,307,83,2.3,5,6.9,1977.04
Barisal,1978,4,35,22.2,242,78,1.1,3.3,8.3,1978.04
Barisal,1979,4,37.5,24.1,38,75,1.1,2.2,9.2,1979.04
Barisal,1980,4,37,25.3,13,75,2,3.4,9.2,1980.04
Barisal,1981,4,34,22.7,412,84,1.3,4.4,7.4,1981.04
Barisal,1982,4,34.4,22.6,178,79,1.7,4.3,9.4,1982.04
Barisal,1983,4,36.7,23,92,76,2,3.1,9.1,1983.04
Barisal,1984,4,36.3,23.8,102,82,1.8,4,7.8,1984.04
Barisal,1985,4,36.6,24.6,64,81,1.9,4.7,8.4,1985.04
Barisal,1986,4,35.4,23.2,102,80,1.7,4.5,8,1986.04
Barisal,1987,4,37.5,23.7,150,82,1.5,4.2,7.7,1987.04
Barisal,1988,4,37,24.3,96,79,1.1,4,8,1988.04
Barisal,1989,4,35.5,24.7,89,80,2.2,3.7,9,1989.04
Barisal,1990,4,34.6,22.9,139,82,1.9,4.8,8.4,1990.04
Barisal,1991,4,36,24.3,53,79,1.5,4.2,7.9,1991.04
Barisal,1992,4,37.8,25.3,1,79,1.9,2.9,8.4,1992.04
Barisal,1993,4,36,22.6,216,83,1.2,3.9,8.8,1993.04
Barisal,1994,4,36.5,23.1,101,77,0.8,3.5,8,1994.04
Barisal,1995,4,38.2,24.6,12,75,1.2,2.7,9.1,1995.04
Barisal,1996,4,36.6,23.5,131,82,1.2,3.5,7.5,1996.04
Barisal,1997,4,35.2,20.7,203,84,1.1,4.6,7.4,1997.04
Barisal,1998,4,35.6,22.5,251,81,1.4,3.8,8.1,1998.04
Barisal,1999,4,36.6,24.9,20,79,1.9,3.4,7.6,1999.04
Barisal,2000,4,35.3,23.2,135,80,2.4,4.3,5.5,2000.04
Barisal,2001,4,37.6,23.6,16,77,1.5,3.8,6.8,2001.04
Barisal,2002,4,34.4,22.8,101,80,1.8,4.8,8.6,2002.04
Barisal,2003,4,35.6,24.8,104,85,1.9,4.4,8.1,2003.04
Barisal,2004,4,34.4,24.3,87,80,2.5,5.1,7,2004.04
Barisal,2005,4,36.5,24.6,26,80,0.8,3.7,9.1,2005.04
Barisal,2006,4,36.6,24.1,41,81,1.5,3.8,7.4,2006.04
Barisal,2007,4,35.2,23.8,50,79,1.6,3.7,6.8,2007.04
Barisal,2008,4,37.2,24,16,80,1.4,2.8,8.8,2008.04
Barisal,2009,4,37,25.1,112,78,3.9,2.8,8.8,2009.04
Barisal,2010,4,37.2,26.5,10,77,5.1,4.8,8.1,2010.04
Barisal,2011,4,35.7,23,105,79,1.7,3.5,7.5,2011.04
Barisal,2012,4,37.3,23.7,223,79,2.9,4.1,7.3,2012.04
Barisal,2013,4,36.2,24,64,76,2.5,3.5,8.2,2013.04
Barisal,1949,5,35.6,25,217,76,1.703703704,4.1,7.046808511,1949.05
Barisal,1950,5,36.1,25.5,87,78,1.703703704,4.8,7.046808511,1950.05
Barisal,1951,5,35.2,25.6,114,78,1.703703704,3.9,7.046808511,1951.05
Barisal,1952,5,33.6,25,196,81,1.703703704,4.7,7.046808511,1952.05
Barisal,1953,5,36.1,25.2,339,81,1.703703704,5.3,7.046808511,1953.05
Barisal,1954,5,37.1,26.3,70,74,1.703703704,3.8,7.046808511,1954.05
Barisal,1955,5,33.6,25,196,81,1.703703704,4.7,7.046808511,1955.05
Barisal,1956,5,34.4,26.2,343,83,1.703703704,5.6,7.046808511,1956.05
Barisal,1957,5,36.2,26.7,22,77,1.703703704,4.2,7.046808511,1957.05
Barisal,1958,5,36.1,26.2,289,83,1.703703704,4,7.046808511,1958.05
Barisal,1959,5,36.1,25.6,258,79,1.703703704,4.6,7.046808511,1959.05
Barisal,1960,5,37.2,26.4,324,76,1.1,4.2,7.046808511,1960.05
Barisal,1961,5,36.6,25.5,303,81,1.2,3.6,7.046808511,1961.05
Barisal,1962,5,36.1,24.4,134,75,1.4,4.4,7.046808511,1962.05
Barisal,1963,5,34.9,24.6,252,87,0.9,4.7,7.046808511,1963.05
Barisal,1964,5,33.6,25,47,81,1.6,4,7.046808511,1964.05
Barisal,1965,5,33.6,25,127,81,1.3,4.6,7.046808511,1965.05
Barisal,1966,5,33.6,25,175,79,1.6,3.9,7.046808511,1966.05
Barisal,1967,5,35.8,25.3,71,80,2,4.3,7.3,1967.05
Barisal,1968,5,37.6,24.9,246,79,2.3,5.9,7.7,1968.05
Barisal,1969,5,35.8,25.1,55,77,0.9,4.7,7.8,1969.05
Barisal,1970,5,35.6,26.2,124,80,2.3,5.2,8,1970.05
Barisal,1971,5,35.2,24,286,81,1.5,5,7.1,1971.05
Barisal,1972,5,36.1,26.1,130,81,2.8,4.3,8.9,1972.05
Barisal,1973,5,34.4,24.4,508,86,1.7,5.3,6.7,1973.05
Barisal,1974,5,35.6,24.3,265,82,2.3,4.6,7.6,1974.05
Barisal,1975,5,35,24.4,230,81,1.8,4.1,8.2,1975.05
Barisal,1976,5,37.2,24.1,164,83,1.2,4.8,8.7,1976.05
Barisal,1977,5,33.7,24.4,157,84,1.7,5.1,4.3,1977.05
Barisal,1978,5,35.6,24.1,387,82,1.6,5,7.1,1978.05
Barisal,1979,5,37.2,26.1,67,77,1.6,2.9,10,1979.05
Barisal,1980,5,35.8,24.1,235,82,1.8,4.5,6.9,1980.05
Barisal,1981,5,33.9,24.1,280,84,1.1,5.2,6.6,1981.05
Barisal,1982,5,37,25.9,65,76,1,2.7,9.2,1982.05
Barisal,1983,5,35.9,24.2,318,81,1.5,4.3,8.4,1983.05
Barisal,1984,5,34.8,25.2,283,85,2,5.9,7,1984.05
Barisal,1985,5,35,24.2,226,88,1.7,5.1,7.9,1985.05
Barisal,1986,5,36.8,23.7,181,83,0.7,3.7,8.3,1986.05
Barisal,1987,5,36.6,24.6,96,82,0.9,3.7,8.4,1987.05
Barisal,1988,5,34.5,25.5,393,84,1.4,5.6,6.2,1988.05
Barisal,1989,5,35.5,26,164,84,1.7,4.6,7.8,1989.05
Barisal,1990,5,35,24.3,352,85,0.7,5.3,6.6,1990.05
Barisal,1991,5,33.5,24.5,191,86,2.5,6.1,5.8,1991.05
Barisal,1992,5,35.5,23.9,205,83,1.3,4.1,7.2,1992.05
Barisal,1993,5,34.5,23.8,352,87,1.6,5.2,6.9,1993.05
Barisal,1994,5,36.2,25.1,178,83,1,4.2,7.5,1994.05
Barisal,1995,5,36.7,26.5,144,84,1.6,5.2,6,1995.05
Barisal,1996,5,36.6,25.3,94,84,2.3,4.7,7.5,1996.05
Barisal,1997,5,35.6,24.2,235,84,1.6,5.3,7.1,1997.05
Barisal,1998,5,36.5,24.5,179,84,1.4,5.2,4.7,1998.05
Barisal,1999,5,35.7,25,212,86,2.2,5.7,3.8,1999.05
Barisal,2000,5,36.3,24.3,246,83,1.3,6,4.4,2000.05
Barisal,2001,5,35.6,23.7,282,87,1.3,5.3,5,2001.05
Barisal,2002,5,35.4,24.1,324,83,1.9,5.9,7.2,2002.05
Barisal,2003,5,35.4,26,85,86,1.6,5.1,7.4,2003.05
Barisal,2004,5,36.8,25.8,126,78,1.6,4.2,7.2,2004.05
Barisal,2005,5,36,25.4,85,83,1.3,4.8,8,2005.05
Barisal,2006,5,36.2,25.4,274,83,1.3,4.8,6,2006.05
Barisal,2007,5,37,25.7,146,82,1,4.1,7.4,2007.05
Barisal,2008,5,36.8,25.4,64,81,1.1,4.5,7.5,2008.05
Barisal,2009,5,36,25.6,133,79,4,4.7,7.2,2009.05
Barisal,2010,5,36.3,25.8,212,81,3.8,5.6,6.7,2010.05
Barisal,2011,5,36.2,25.2,153,82,2.7,4.8,7.3,2011.05
Barisal,2012,5,36.6,25.9,105,80,2.2,3.8,6.9,2012.05
Barisal,2013,5,37.5,24.8,701,87,4.1,6.9,3.8,2013.05
Barisal,1949,6,34.4,25.7,512,80,1.631481481,5.6,4.072340426,1949.06
Barisal,1950,6,33.9,26,476,87,1.631481481,7.2,4.072340426,1950.06
Barisal,1951,6,33.9,26.2,394,87,1.631481481,6.7,4.072340426,1951.06
Barisal,1952,6,32.9,25.7,406,87,1.631481481,6.2,4.072340426,1952.06
Barisal,1953,6,35.6,25.2,715,88,1.631481481,7.3,4.072340426,1953.06
Barisal,1954,6,36,25.4,500,86,1.631481481,6.4,4.072340426,1954.06
Barisal,1955,6,32.9,25.7,406,87,1.631481481,6.2,4.072340426,1955.06
Barisal,1956,6,32.2,25.2,784,87,1.631481481,6.3,4.072340426,1956.06
Barisal,1957,6,35.5,26.5,244,83,1.631481481,5.3,4.072340426,1957.06
Barisal,1958,6,35.5,27,171,84,1.631481481,4.9,4.072340426,1958.06
Barisal,1959,6,34.6,25.8,377,85,1.631481481,5.4,4.072340426,1959.06
Barisal,1960,6,34.4,26.5,433,84,0.6,5,4.072340426,1960.06
Barisal,1961,6,36.1,25.7,553,86,0.5,5.9,4.072340426,1961.06
Barisal,1962,6,34.8,25.7,325,84,1.4,6.5,4.072340426,1962.06
Barisal,1963,6,34.9,26.2,232,88,1.1,5.7,4.072340426,1963.06
Barisal,1964,6,32.9,25.7,225,87,2.8,6.3,4.072340426,1964.06
Barisal,1965,6,32.9,25.7,407,87,1.8,7.1,4.072340426,1965.06
Barisal,1966,6,32.9,25.7,416,88,1.9,5.6,4.072340426,1966.06
Barisal,1967,6,34.7,25.5,159,88,1.9,5.7,5.2,1967.06
Barisal,1968,6,32.5,24.7,847,90,1.2,7.1,2.3,1968.06
Barisal,1969,6,33.1,26.3,347,89,1.3,7.1,2.9,1969.06
Barisal,1970,6,33.7,25.6,408,89,2.3,6.7,3.9,1970.06
Barisal,1971,6,32.8,25.4,503,87,3.1,6.9,4.1,1971.06
Barisal,1972,6,36.4,26.1,262,85,1.8,5.9,6.3,1972.06
Barisal,1973,6,33.9,25.7,502,88,1.3,6.3,4.5,1973.06
Barisal,1974,6,34.4,25.3,289,88,1.7,6.6,5,1974.06
Barisal,1975,6,33.9,25.5,353,87,1.2,5.2,5.8,1975.06
Barisal,1976,6,34.2,24.7,330,87,1.2,6.6,4.3,1976.06
Barisal,1977,6,34.4,25.6,557,89,1.7,6.2,3.4,1977.06
