location,co_level,gas_level,temperature,humidity,dust_level
Badda,86,148,34,77,39
Badda,4,45,21,56,1
Badda,67,103,32,64,20
Badda,2,21,22,52,1
Badda,34,237,12,66,64
Badda,8,12,23,40,12
Badda,63,214,32,56,75
Badda,1,16,26,55,4
Badda,81,275,33,33,69
Badda,4,33,21,60,1
Badda,64,154,11,39,81
Badda,2,28,27,41,7
Badda,20,239,33,34,39
Badda,8,50,25,47,7
Badda,83,93,33,31,98
Badda,5,46,25,48,5
Badda,57,212,14,48,73
Badda,3,13,20,54,13
Badda,94,230,32,57,13
Badda,3,47,28,50,3
Badda,93,136,21,61,20
Badda,1,40,23,55,1
Badda,47,210,25,40,90
Badda,10,5,29,48,10
Badda,89,84,28,35,100
Badda,1,44,21,43,1
Badda,89,271,23,42,78
Badda,8,5,29,54,9
Badda,53,65,10,59,40
Badda,1,45,25,52,10
Badda,91,225,29,56,19
Badda,1,11,23,57,15
Badda,45,52,19,36,92
Badda,4,29,29,60,2
Badda,55,257,15,56,90
Badda,4,4,27,54,13
Badda,77,174,16,30,85
Badda,8,48,22,55,14
Badda,85,256,16,67,52
Badda,2,42,23,54,17
Badda,49,243,32,52,87
Badda,9,18,20,47,5
Badda,34,295,34,49,48
Badda,9,8,23,48,1
Badda,74,144,17,51,95
Badda,6,10,25,53,4
Badda,59,244,12,53,76
Badda,8,39,20,40,18
Badda,65,87,15,73,81
Badda,1,39,24,47,19
Badda,39,114,21,72,16
Badda,10,24,23,46,4
Badda,80,173,25,79,85
Badda,5,3,25,49,17
Badda,65,216,23,35,42
Badda,2,39,23,43,8
Badda,86,78,23,37,44
Badda,6,29,29,42,11
Badda,64,213,10,50,32
Badda,1,18,21,59,19
Badda,94,183,24,79,84
Badda,10,37,30,49,5
Badda,67,290,22,32,64
Badda,5,8,25,56,2
Badda,80,70,25,40,57
Badda,8,50,27,41,11
Badda,34,166,25,43,79
Badda,1,44,25,49,13
Badda,46,190,14,35,10
Badda,6,35,26,60,1
Badda,22,99,23,35,32
Badda,5,33,27,60,18
Badda,56,97,19,41,25
Badda,1,41,28,57,7
Badda,73,258,34,51,82
Badda,9,37,29,50,4
Badda,56,163,32,54,26
Badda,1,27,21,55,6
Badda,82,82,26,50,39
Badda,9,36,24,44,13
Badda,80,140,12,69,35
Badda,10,45,20,56,9
Badda,70,89,28,60,62
Badda,6,19,20,54,8
Badda,33,123,34,57,46
Badda,3,12,21,41,19
Badda,67,79,34,34,73
Badda,10,13,29,47,17
Badda,87,76,18,47,49
Badda,5,20,28,46,8
Badda,47,221,32,37,46
Badda,3,6,22,43,15
Badda,82,170,33,78,82
Badda,10,27,26,53,3
Badda,69,138,16,76,82
Badda,4,12,29,54,15
Badda,95,153,22,37,52
Badda,4,50,29,41,18
Badda,94,91,25,54,69
Badda,3,39,24,57,7
Badda,98,123,18,32,35
Badda,7,9,22,55,13
Badda,27,229,11,54,21
Badda,1,10,21,60,12
Badda,73,109,21,32,79
Badda,10,18,25,42,7
Badda,73,160,19,78,54
Badda,4,22,28,49,18
Badda,28,85,35,42,72
Badda,1,29,22,41,11
Badda,25,219,13,71,41
Badda,6,45,25,55,16
Badda,69,78,23,55,65
Badda,4,20,20,42,4
Badda,24,93,12,44,79
Badda,3,13,29,43,7
Badda,98,269,24,78,43
Badda,3,50,20,43,20
Badda,86,282,19,42,54
Badda,7,42,23,44,7
Badda,43,273,32,54,23
Badda,1,1,21,60,10
Badda,62,113,29,61,48
Badda,6,24,25,42,17
Badda,46,277,15,50,29
Badda,5,14,29,55,18
Badda,52,68,25,63,96
Badda,3,38,22,44,11
Badda,66,117,15,57,14
Badda,9,38,22,44,20
Badda,29,182,28,63,70
Badda,2,38,23,60,19
Badda,72,137,10,60,82
Badda,5,3,29,40,15
Badda,30,101,14,71,87
Badda,5,25,28,48,16
Badda,22,266,35,39,52
Badda,2,30,30,58,9
Badda,78,251,32,73,100
Badda,6,26,28,47,2
Badda,48,231,11,64,91
Badda,3,40,25,49,6
Badda,73,290,26,55,85
Badda,5,39,25,42,5
Badda,91,188,15,75,20
Badda,4,19,22,43,14
Badda,66,214,24,74,16
Badda,9,46,21,43,7
Badda,36,185,19,58,56
Badda,3,12,25,51,9
Badda,49,72,10,57,40
Badda,4,2,20,54,9
Badda,74,62,21,47,57
Badda,5,23,26,48,16
Badda,33,65,34,56,69
Badda,8,28,21,46,4
Badda,45,182,29,66,98
Badda,3,18,30,45,16
Badda,96,216,17,54,47
Badda,10,50,20,55,15
Badda,28,276,19,41,91
Badda,2,28,30,44,7
Badda,82,247,12,49,24
Badda,4,23,30,52,9
Badda,26,207,13,37,91
Badda,8,31,28,53,15
Badda,30,191,21,65,43
Badda,4,48,29,50,19
Badda,38,282,35,38,26
Badda,8,5,25,50,2
Badda,58,55,29,63,17
Badda,6,28,29,58,20
Badda,39,260,18,48,23
Badda,6,5,20,52,8
Badda,64,288,21,40,72
Badda,10,35,30,60,7
Badda,94,216,25,71,86
Badda,7,43,22,53,9
Badda,86,152,26,72,56
Badda,6,2,26,55,7
Badda,61,147,24,61,19
Badda,7,33,22,53,2
Badda,83,110,30,37,94
Badda,9,38,29,40,20
Badda,67,249,15,36,75
Badda,5,13,22,56,19
Badda,46,130,33,53,94
Badda,1,37,22,55,14
Badda,45,205,25,75,76
Badda,7,2,30,50,11
Badda,32,282,18,78,12
Badda,8,1,23,51,18
Badda,39,123,22,68,79
Badda,4,9,25,45,10
Badda,89,211,16,79,90
Badda,7,42,28,40,3
Badda,90,188,15,35,76
Badda,8,41,30,56,16
Badda,70,183,27,68,18
Badda,7,2,28,47,12
Badda,65,243,13,34,12
Badda,7,24,25,60,20
Badda,23,152,26,61,17
Badda,9,1,22,53,2
Badda,21,199,35,47,35
Badda,7,10,26,54,14
Badda,90,288,18,47,75
Badda,5,12,24,50,18
Badda,79,117,23,38,70
Badda,7,33,30,58,12
Badda,22,207,26,48,88
Badda,8,36,22,52,3
Badda,49,210,20,64,35
Badda,3,3,21,44,12
Badda,79,61,30,32,82
Badda,1,37,25,49,3
Badda,55,295,14,56,94
Badda,2,20,27,56,6
Badda,95,74,23,40,87
Badda,9,47,22,51,5
Badda,53,133,14,39,97
Badda,9,37,27,41,2
Badda,65,124,30,37,95
Badda,5,38,30,45,3
Badda,69,131,22,74,71
Badda,4,22,30,55,8
Badda,24,247,32,46,23
Badda,5,36,27,42,13
Badda,63,114,19,38,22
Badda,8,9,27,44,19
Badda,36,70,22,38,28
Badda,8,9,27,56,11
Badda,35,276,16,43,24
Badda,10,43,27,40,3
Badda,23,273,11,68,37
Badda,10,16,28,48,8
Badda,95,77,11,32,98
Badda,3,25,25,45,20
Badda,43,66,10,70,34
Badda,2,18,30,46,14
Badda,77,191,31,58,81
Badda,7,37,27,43,13
Badda,22,273,23,45,25
Badda,87,293,17,33,33
Badda,8,26,21,60,12
Badda,33,94,34,52,89
Badda,6,32,23,58,3
Badda,31,174,17,34,84
Badda,1,3,23,46,8
Badda,23,150,29,72,89
Badda,10,9,29,52,11
Badda,96,281,12,72,46
Badda,1,29,27,59,17
Badda,36,89,18,69,59
Badda,10,19,27,45,19
Badda,34,70,17,69,28
Badda,5,18,23,54,14
Badda,67,78,24,30,36
Badda,8,6,27,43,9
Badda,78,280,20,40,48
Badda,9,4,25,57,13
Badda,100,60,15,56,20
Badda,2,16,26,59,7
Badda,21,287,10,79,73
Badda,1,35,28,56,16
Badda,62,267,28,77,41
Badda,1,12,24,46,5
Badda,79,160,20,30,81
Badda,8,47,24,53,18
Badda,69,278,11,44,48
Badda,6,24,24,58,14
Badda,34,192,33,54,94
Badda,4,11,28,47,16
Badda,53,78,15,56,94
Badda,9,31,22,46,13
Badda,24,226,15,40,53
Badda,2,12,23,57,16
Badda,31,158,19,42,16
Badda,6,32,30,43,1
Badda,38,210,14,55,77
Badda,6,43,28,46,17
Badda,78,165,32,80,28
Badda,10,33,24,59,6
Badda,30,160,31,46,85
Badda,8,1,29,53,6
Badda,91,173,14,37,67
Badda,6,24,25,60,14
Badda,64,54,28,38,18
Badda,3,47,24,60,9
Badda,83,253,24,51,22
Badda,10,9,21,44,13
Badda,30,98,12,54,79
Badda,6,36,25,55,1
Badda,96,164,30,72,62
Badda,4,25,23,46,6
Badda,24,160,34,60,59
Badda,9,22,20,47,6
Badda,33,50,25,38,45
Badda,10,28,25,41,15
Badda,99,139,34,58,11
Badda,1,29,20,44,2
Badda,55,76,35,79,46
Badda,1,10,26,58,14
Badda,50,300,23,62,36
Badda,5,36,27,60,6
Badda,26,54,28,68,35
Badda,10,13,20,43,4
Badda,97,122,28,59,62
Badda,2,2,20,48,6
Badda,51,249,15,65,41
Badda,5,15,30,60,6
Badda,33,299,25,74,46
Badda,1,45,27,51,2
Badda,81,218,23,42,10
Badda,1,40,29,53,7
Badda,92,139,34,32,72
Badda,10,22,30,40,3
Badda,68,119,33,50,36
Badda,4,12,24,53,4
Badda,78,190,11,58,34
Badda,4,32,20,52,7
Badda,63,228,14,74,19
Badda,1,10,30,45,20
Badda,37,247,10,61,12
Badda,1,38,25,59,17
Badda,66,73,25,78,65
Badda,5,6,30,56,16
Badda,22,160,14,34,87
Badda,5,27,30,54,17
Badda,66,252,19,66,57
Badda,4,20,21,54,18
Badda,67,211,20,65,28
Badda,7,23,23,54,18
Badda,33,75,11,57,71
Badda,1,38,26,57,9
Badda,20,278,35,48,83
Badda,2,32,21,46,10
Badda,57,109,30,57,86
Badda,1,8,28,48,14
Badda,29,158,13,75,80
Badda,1,31,27,51,7
Badda,67,258,22,69,80
Badda,4,5,21,59,17
Badda,27,77,23,38,16
Badda,2,48,30,52,17
Badda,42,201,19,62,76
Badda,5,28,25,40,5
Badda,20,237,27,63,14
Badda,8,15,22,40,2
Badda,91,148,16,53,79
Badda,1,10,20,47,18
Badda,61,118,13,80,72
Badda,8,38,21,48,13
Badda,64,164,25,44,78
Badda,8,48,24,60,16
Badda,27,63,12,69,31
Badda,4,1,26,58,3
Badda,61,240,23,63,29
Badda,2,11,23,57,16
Badda,62,257,29,46,22
Badda,2,49,28,53,6
Badda,61,213,27,54,15
Badda,2,31,26,50,8
Badda,20,278,21,65,26
Badda,2,28,20,47,19
Badda,51,239,32,78,17
Badda,3,5,21,52,3
Badda,28,146,16,64,80
Badda,2,3,25,49,17
Badda,35,59,30,50,91
Badda,3,24,20,49,2
Badda,71,95,29,40,79
Badda,9,34,29,56,20
Badda,54,282,26,67,64
Badda,10,42,28,46,16
Badda,30,94,34,47,28
Badda,2,17,27,57,19
Badda,21,107,28,48,59
Badda,3,45,25,45,12
Badda,89,216,18,40,47
Badda,7,40,28,53,14
Badda,65,294,22,63,64
Badda,8,45,26,54,10
Badda,22,285,24,54,18
Badda,2,21,24,41,3
Badda,38,90,30,57,82
Badda,3,38,25,45,18
Badda,65,98,12,72,72
Badda,2,9,29,47,19
Badda,43,54,30,46,19
Badda,9,32,21,55,4
Badda,44,134,23,80,88
Badda,9,17,24,51,8
Badda,82,281,10,57,17
Badda,5,24,20,54,13
Badda,93,221,19,75,30
Badda,7,27,20,53,15
Badda,23,198,25,62,36
Badda,5,23,30,55,3
Badda,28,232,31,55,21
Badda,8,7,30,57,14
Badda,50,119,11,51,66
Badda,9,34,23,50,15
Badda,21,154,35,64,97
Badda,4,33,28,46,14
Badda,62,76,22,56,67
Badda,5,10,28,58,13
Badda,70,190,23,42,43
Badda,1,10,30,43,8
Badda,20,72,30,47,22
Badda,9,33,25,59,15
Badda,83,53,25,45,89
Badda,5,8,21,51,9
Badda,93,252,35,38,28
Badda,3,28,28,58,11
Badda,62,96,11,55,93
Badda,2,11,30,51,13
Badda,25,287,28,54,52
Badda,4,8,20,54,9
Badda,51,164,25,33,33
Badda,5,41,26,46,5
Badda,49,158,10,70,51
Badda,1,9,26,44,17
Badda,100,227,33,38,25
Badda,2,4,29,47,16
Badda,44,146,31,72,50
Badda,5,9,21,46,2
Badda,22,105,32,33,70
Badda,10,12,22,56,3
Badda,71,195,33,37,91
Badda,8,10,25,53,5
Badda,88,124,18,33,24
Badda,7,25,22,60,5
Badda,31,231,16,78,95
Badda,8,11,21,50,8
Badda,66,56,20,66,46
Badda,2,25,20,59,7
Badda,91,95,13,71,27
Badda,3,21,24,41,15
Badda,38,197,22,43,14
Badda,3,23,30,57,2
Badda,20,152,29,60,44
Badda,6,7,22,42,4
Badda,78,230,15,35,36
Badda,7,23,25,41,9
Badda,94,118,12,36,81
Badda,7,29,25,50,14
Badda,48,167,16,80,91
Badda,10,41,26,50,3
Badda,74,171,22,52,57
Badda,3,13,20,60,5
Badda,21,224,16,34,100
Badda,6,9,24,45,8
Badda,27,98,12,54,10
Badda,1,8,30,54,9
Badda,69,248,26,39,35
Badda,7,29,27,56,15
Badda,89,92,19,75,86
Badda,6,36,24,57,10
Badda,2,31,28,40,12
Badda,31,111,26,62,32
Badda,6,4,22,59,8
Badda,65,139,23,52,16
Badda,6,27,25,46,12
Badda,68,187,20,30,26
Badda,7,2,24,41,10
Badda,91,258,28,69,41
Badda,9,13,25,60,16
Badda,62,206,24,69,48
Badda,10,2,23,54,20
Badda,24,250,15,58,18
Badda,4,41,29,51,10
Badda,43,115,22,50,14
Badda,4,20,22,45,10
Badda,23,58,30,64,41
Badda,5,14,20,51,17
Badda,50,235,10,62,79
Badda,2,12,30,55,5
Badda,47,173,24,49,27
Badda,5,5,26,57,12
Badda,58,51,30,38,82
Badda,10,1,28,58,15
Badda,39,162,29,64,69
Badda,8,40,29,48,17
Badda,68,282,16,47,82
Badda,4,49,21,42,12
Badda,57,75,27,39,27
Badda,1,21,20,47,20
Badda,22,51,12,54,57
Badda,8,32,22,47,14
Badda,55,146,17,50,67
Badda,7,33,24,55,14
Badda,26,113,29,62,56
Badda,6,24,21,43,20
Badda,80,122,21,63,86
Badda,1,7,25,55,20
Badda,96,140,35,44,71
Badda,6,13,24,57,19
Badda,34,97,29,40,24
Badda,6,24,30,50,18
Badda,82,115,23,38,26
Badda,6,15,24,42,2
Badda,27,106,16,66,54
Badda,5,29,26,59,13
Badda,94,271,27,31,77
Badda,10,35,21,59,5
Badda,41,226,33,74,68
Badda,8,28,26,50,10
Badda,71,65,22,41,82
Badda,1,23,30,57,14
Badda,94,100,16,75,49
Badda,10,47,26,51,4
Badda,93,249,23,68,82
Badda,7,16,23,51,7
Badda,100,68,16,58,11
Badda,4,44,28,57,1
Badda,94,244,12,79,44
Badda,6,37,27,54,18
Badda,92,278,31,43,99
Badda,5,34,23,58,5
Badda,49,152,33,64,38
Badda,7,7,21,58,2
Badda,72,212,10,36,24
Badda,10,46,28,54,8
Badda,98,82,20,38,64
Badda,1,9,20,58,6
Badda,96,99,12,53,42
Badda,3,37,30,59,20
Badda,47,125,14,66,12
Badda,2,17,23,43,7
Badda,23,174,15,40,35
Badda,3,5,27,50,11
Badda,26,208,27,69,58
Badda,9,32,29,48,14
Badda,90,73,10,68,23
Badda,8,11,25,41,5
Badda,54,108,29,56,60
Badda,10,4,27,46,9
Badda,99,65,21,56,47
Badda,4,10,28,43,14
Badda,21,135,14,52,86
Badda,1,40,25,51,18
Badda,37,183,30,49,37
Badda,5,37,20,52,14
Badda,44,161,18,34,70
Badda,10,32,21,56,15
Badda,74,53,35,47,50
Badda,1,6,21,58,9
Badda,48,95,15,62,36
Badda,8,42,20,57,9
Badda,45,288,15,42,90
Badda,5,50,28,55,5
Badda,21,177,28,38,77
Badda,10,38,26,49,6
Badda,43,183,27,70,77
Badda,10,44,27,51,15
Badda,31,92,31,40,24
Badda,8,14,27,54,2
Badda,28,64,21,44,83
Badda,10,45,26,41,9
Badda,47,257,14,36,22
Badda,3,19,23,57,4
Badda,80,259,13,38,31
Badda,6,23,28,59,9
Badda,35,248,25,48,93
Badda,3,22,29,44,11
Badda,55,240,15,49,91
Badda,8,29,30,49,15
Badda,96,266,11,59,47
Badda,7,35,20,48,14
Badda,43,209,25,45,64
Badda,8,9,25,57,10
Badda,49,215,20,68,66
Badda,1,14,29,59,17
Badda,45,235,27,60,80
Badda,7,18,23,40,13
Badda,97,267,25,62,74
Badda,2,11,26,49,11
Badda,90,299,20,46,93
Badda,10,13,24,59,16
Badda,41,210,28,52,47
Badda,2,27,27,54,4
Badda,36,106,25,30,69
Badda,6,50,26,48,19
Badda,70,229,33,34,86
Badda,1,46,21,53,2
Badda,75,62,23,31,39
Badda,5,13,29,51,4
Badda,83,61,24,62,40
Badda,9,30,25,55,13
Badda,46,125,32,33,47
Badda,1,29,24,51,13
Badda,21,227,28,64,27
Badda,6,28,20,53,2
Badda,60,88,17,70,73
Badda,8,24,22,47,2
Badda,35,150,10,50,36
Badda,10,37,23,47,3
Badda,21,193,32,41,81
Badda,10,50,25,51,11
Badda,99,200,35,46,81
Badda,1,23,26,60,6
Badda,78,97,30,64,92
Badda,9,1,20,44,8
Badda,47,127,34,40,28
Badda,5,32,27,48,16
Badda,59,88,32,66,84
Badda,6,23,21,45,15
Badda,89,167,18,40,77
Badda,9,21,20,50,9
Badda,64,120,23,30,34
Badda,8,18,27,51,16
Badda,91,207,25,77,52
Badda,1,35,28,57,15
Badda,60,198,30,47,93
Badda,5,1,28,58,13
Badda,88,189,20,61,12
Badda,10,36,28,41,12
Badda,41,271,18,79,45
Badda,9,11,26,60,3
Badda,92,102,23,69,81
Badda,3,50,22,51,13
Badda,45,289,21,31,68
Badda,8,28,22,44,20
Badda,41,199,26,33,55
Badda,7,36,24,59,6
Badda,35,50,35,37,91
Badda,1,50,25,59,15
Badda,43,119,29,57,44
Badda,10,6,24,42,10
Badda,61,75,24,56,44
Badda,6,44,30,52,6
Badda,42,206,16,55,59
Badda,7,43,25,45,5
Badda,99,201,26,39,33
Badda,8,26,30,47,20
Badda,35,181,11,40,80
Badda,8,8,21,54,19
Badda,74,190,12,31,26
Badda,9,35,22,45,3
Badda,71,260,25,61,77
Badda,4,36,21,57,1
Badda,26,179,30,63,11
Badda,8,33,25,60,13
Badda,85,165,11,60,100
Badda,10,2,24,46,20
Badda,56,216,16,70,10
Badda,4,10,25,55,1
Badda,81,231,25,66,89
Badda,10,28,23,40,14
Badda,62,84,21,74,68
Badda,4,48,21,44,8
Badda,25,146,11,39,11
Badda,5,39,25,46,3
Badda,93,278,29,38,93
Badda,4,27,25,57,13
Badda,53,75,26,36,98
Badda,6,49,20,50,15
Badda,67,125,13,74,46
Badda,7,27,23,40,11
Badda,75,91,23,72,30
Badda,2,1,23,45,20
Badda,76,219,31,46,91
Badda,7,13,22,46,5
Badda,94,218,29,47,100
Badda,8,1,27,57,3
Badda,82,149,13,69,58
Badda,8,18,26,59,16
Badda,89,120,14,61,48
Badda,5,23,26,49,6
Badda,44,155,11,63,96
Badda,3,41,25,55,10
Badda,82,81,32,60,26
Badda,3,25,24,48,1
Badda,80,282,33,72,28
Badda,8,4,29,60,8
Badda,36,132,10,50,97
Badda,6,43,30,44,4
Badda,64,116,35,54,49
Badda,6,2,25,60,19
Badda,31,265,20,56,100
Badda,1,41,20,53,10
Badda,98,163,18,31,41
Badda,5,9,23,43,18
Badda,76,54,31,72,43
Badda,7,38,20,57,9
Badda,77,55,24,60,64
Badda,3,40,29,44,1
Badda,75,51,16,52,84
Badda,5,5,24,60,19
Badda,73,300,18,69,54
Badda,4,8,25,48,1
Badda,100,261,19,61,12
Badda,8,15,27,59,3
Badda,29,256,18,54,50
Badda,10,10,26,59,6
Badda,99,59,26,46,28
Badda,9,40,27,56,4
Badda,41,183,19,35,71
Badda,2,35,23,46,1
Badda,38,96,31,54,92
Badda,8,8,26,57,11
Badda,76,249,35,41,53
Badda,2,43,21,45,8
Badda,32,102,34,72,25
Badda,4,38,30,59,12
Badda,58,154,10,59,31
Badda,4,47,21,43,2
Badda,68,297,10,62,39
Badda,5,7,25,42,18
Badda,85,223,26,44,11
Badda,4,19,27,42,9
Badda,83,134,11,32,34
Badda,3,35,25,60,14
Badda,58,142,18,49,35
Badda,8,50,24,48,9
Badda,55,192,14,79,43
Badda,2,20,26,41,12
Badda,98,196,19,58,60
Badda,2,22,30,51,15
Badda,37,275,25,49,25
Badda,2,48,30,55,20
Badda,54,247,27,34,40
Badda,10,4,28,60,6
Badda,94,248,30,53,70
Badda,4,12,29,53,2
Badda,64,266,18,67,37
Badda,4,32,24,53,13
Badda,85,152,19,75,58
Badda,5,22,20,55,11
Badda,56,148,24,69,54
Badda,2,45,26,42,9
Badda,30,212,18,58,50
Badda,5,5,22,42,15
Badda,69,136,21,80,12
Badda,8,24,28,53,6
Badda,30,125,16,69,39
Badda,5,31,28,44,5
Badda,80,109,29,52,35
Badda,10,3,20,55,19
Badda,82,281,12,52,41
Badda,9,2,21,45,13
Badda,51,127,35,70,80
Badda,10,6,28,50,11
Badda,94,164,11,32,79
Badda,1,27,29,47,7
Badda,33,225,29,44,70
Badda,10,46,22,50,3
Badda,41,238,35,57,67
Badda,10,45,23,57,6
Badda,96,196,24,30,13
Badda,3,50,21,55,9
Badda,86,112,25,66,94
Badda,8,26,22,49,3
Badda,57,57,26,52,29
Badda,9,50,27,43,16
Badda,55,103,33,70,48
Badda,8,25,28,44,20
Badda,53,103,10,31,47
Badda,10,43,25,54,12
Badda,65,74,35,48,34
Badda,1,24,20,47,18
Badda,41,72,34,61,31
Badda,3,38,29,44,10
Badda,72,123,33,72,83
Badda,6,42,23,41,11
Badda,25,256,20,52,70
Badda,8,6,28,48,2
Badda,66,92,16,42,93
Badda,7,39,30,42,1
Badda,87,254,22,73,94
Badda,6,20,24,45,16
Badda,47,173,26,77,21
Badda,9,19,23,40,14
Badda,60,205,11,63,14
Badda,4,10,29,40,14
Badda,63,274,30,53,85
Badda,2,33,24,53,13
Badda,57,206,31,39,81
Badda,1,18,25,44,8
Badda,24,276,31,57,85
Badda,10,37,26,48,16
Badda,20,102,17,65,42
Badda,10,32,27,54,9
Badda,40,71,27,55,88
Badda,6,23,26,44,2
Badda,28,131,27,66,60
Badda,10,48,23,58,9
Badda,22,73,13,80,57
Badda,8,22,24,43,15
Badda,95,154,26,57,22
Badda,1,17,30,52,6
Badda,21,61,30,65,16
Badda,6,36,21,40,2
Badda,32,122,11,31,67
Badda,5,17,30,55,5
Badda,25,51,22,66,52
Badda,6,4,20,42,5
Badda,59,147,18,33,56
Badda,1,13,29,43,14
Badda,91,238,10,60,89
Badda,6,43,24,60,1
Badda,21,172,34,33,16
Badda,5,5,23,54,13
Badda,81,103,26,34,51
Badda,2,33,23,58,2
Badda,88,77,13,54,74
Badda,6,20,23,46,2
Badda,79,114,26,56,13
Badda,8,23,20,44,10
Badda,34,208,32,74,71
Badda,1,2,23,56,7
Badda,79,160,10,60,52
Badda,1,29,26,60,18
Badda,58,286,11,46,73
Badda,3,19,23,46,15
Badda,56,131,31,35,90
Badda,7,5,20,60,7
Badda,69,170,10,46,70
Badda,3,23,21,56,8
Badda,73,251,24,70,76
Badda,7,18,21,51,2
Badda,79,90,16,76,24
Badda,6,4,26,45,6
Badda,35,164,17,41,31
Badda,9,39,25,60,18
Badda,99,226,14,64,81
Badda,4,42,23,52,5
Badda,94,162,30,79,46
Badda,5,31,27,48,2
Badda,23,198,11,33,79
Badda,10,39,26,57,15
Badda,33,177,30,40,88
Badda,8,16,29,44,20
Badda,58,86,34,63,45
Badda,5,24,30,40,15
Badda,81,155,24,64,87
Badda,3,11,26,49,8
Badda,78,248,18,62,43
Badda,4,33,27,58,3
Badda,50,272,20,43,56
Badda,5,14,22,46,14
Badda,47,244,30,41,43
Badda,8,42,29,57,9
Badda,95,109,34,36,22
Badda,7,24,24,58,13
Badda,83,96,25,59,80
Badda,10,50,22,49,5
Badda,78,299,35,51,50
Badda,5,33,30,57,15
Badda,74,254,16,52,70
Badda,2,26,26,42,19
Badda,53,135,17,34,53
Badda,4,20,24,47,14
Badda,25,97,29,40,97
Badda,5,46,21,60,10
Badda,100,221,18,65,46
Badda,7,7,20,53,9
Badda,91,64,26,44,10
Badda,4,50,29,40,4
Badda,56,280,14,51,10
Badda,8,8,20,50,6
Badda,53,132,31,36,14
Badda,1,36,21,52,17
Badda,52,111,24,31,62
Badda,9,37,26,58,9
Badda,84,185,23,60,81
Badda,9,35,30,53,2
Badda,21,68,31,36,54
Badda,7,21,25,47,16
Badda,75,134,34,69,16
Badda,9,35,26,44,5
Badda,75,97,14,61,79
Badda,6,48,23,46,1
Badda,89,100,15,33,38
Badda,8,20,24,49,9
Badda,39,83,29,77,75
Badda,6,45,27,49,4
Badda,58,289,34,67,79
Badda,5,50,26,50,4
Badda,50,272,11,48,97
Badda,7,29,30,54,12
Badda,55,275,14,54,25
Badda,1,10,23,56,8
Badda,26,138,18,74,37
Badda,10,21,23,58,17
Badda,46,167,23,33,87
Badda,8,20,23,48,11
Badda,30,180,10,35,48
Badda,2,44,20,49,18
Badda,75,286,18,68,13
Badda,5,9,29,58,8
Badda,70,264,18,68,88
Badda,8,43,24,59,19
Badda,70,155,13,40,63
Badda,1,18,21,53,18
Badda,98,175,21,68,99
Badda,2,12,26,59,15
Badda,76,139,30,32,19
Badda,4,14,20,47,11
Badda,93,107,18,42,63
Badda,1,35,30,40,6
Badda,80,264,24,71,17
Badda,6,7,30,43,15
Badda,82,94,35,30,36
Badda,3,33,25,52,6
Badda,39,166,21,51,48
Badda,9,5,28,47,19
Badda,71,214,20,58,78
Badda,4,38,20,56,10
Badda,72,175,13,31,38
Badda,4,15,21,42,16
Badda,51,210,28,73,92
Badda,3,22,24,59,18
Badda,22,220,21,42,95
Badda,8,7,25,58,15
Badda,68,93,24,49,59
Badda,6,36,21,41,10
Badda,84,178,20,41,81
Badda,9,13,25,60,6
Badda,42,97,26,48,89
Badda,8,15,27,40,8
Badda,34,77,27,48,48
Badda,5,3,29,41,18
Badda,24,170,26,35,53
